Dateandtime,BC1,BC2,BC3,BC4,BC5,BC6,BC7
2022-04-21 08:00:00,2.733,2.1,1.867,1.784,1.707,1.733,1.795
2022-04-21 09:00:00,1.682,1.571,1.508,1.45,1.417,1.374,1.429
2022-04-21 10:00:00,1.986,1.884,1.766,1.755,1.668,1.64,1.64
2022-04-21 11:00:00,1.514,1.1,0.936,0.868,0.798,0.867,0.888
2022-04-21 12:00:00,1.949,1.343,1.18,1.104,1.037,1.073,1.114
2022-04-21 13:00:00,2.304,1.363,1.087,0.964,0.853,0.782,0.806
2022-04-21 14:00:00,1.466,0.816,0.622,0.538,0.484,0.395,0.362
2022-04-21 15:00:00,1.178,1.019,0.957,0.938,0.893,0.962,0.994
2022-04-21 16:00:00,1.547,1.224,1.112,1.06,1.027,1.126,1.12
2022-04-21 17:00:00,1.215,0.954,0.865,0.83,0.773,0.75,0.741
2022-04-21 18:00:00,1.834,1.188,1.008,0.903,0.848,0.766,0.767
2022-04-21 19:00:00,0.375,0.354,0.322,0.285,0.276,0.345,0.329
2022-04-21 20:00:00,1.408,0.931,0.76,0.727,0.703,0.721,0.766
2022-04-21 21:00:00,0.82,0.495,0.366,0.323,0.236,0.185,0.14
2022-04-21 22:00:00,0.304,0.141,0.097,0.047,0.045,0.017,0.0
2022-04-21 23:00:00,0.994,0.836,0.798,0.818,0.793,0.95,0.981
2022-04-22 00:00:00,0.58,0.589,0.565,0.537,0.558,0.589,0.593
2022-04-22 01:00:00,0.446,0.455,0.44,0.436,0.446,0.423,0.435
2022-04-22 02:00:00,0.259,0.26,0.278,0.288,0.292,0.381,0.381
2022-04-22 03:00:00,0.449,0.478,0.469,0.522,0.515,0.63,0.635
2022-04-22 04:00:00,0.369,0.409,0.391,0.398,0.395,0.375,0.399
2022-04-22 05:00:00,0.195,0.2,0.159,0.168,0.148,0.161,0.151
2022-04-22 06:00:00,0.691,0.617,0.575,0.577,0.605,0.7,0.75
2022-04-22 07:00:00,0.906,0.881,0.851,0.838,0.808,0.847,0.882
2022-04-22 08:00:00,0.858,0.869,0.866,0.878,0.851,0.897,0.941
2022-04-22 09:00:00,0.608,0.541,0.506,0.489,0.466,0.578,0.581
2022-04-22 10:00:00,1.136,1.135,1.101,1.093,1.096,1.241,1.302
2022-04-22 11:00:00,2.835,1.751,1.439,1.328,1.24,1.15,1.145
2022-04-22 12:00:00,0.838,0.624,0.553,0.497,0.445,0.442,0.44
2022-04-22 13:00:00,1.134,1.164,1.148,1.174,1.184,1.323,1.377
2022-04-22 14:00:00,1.069,1.081,1.095,1.082,1.081,1.118,1.146
2022-04-22 15:00:00,1.772,1.334,1.179,1.153,1.113,1.101,1.116
2022-04-22 16:00:00,0.957,0.824,0.773,0.729,0.717,0.84,0.878
2022-04-22 17:00:00,2.334,2.105,1.974,1.951,1.884,2.056,2.131
2022-04-22 18:00:00,2.851,1.928,1.622,1.496,1.364,1.381,1.406
2022-04-22 19:00:00,0.803,0.67,0.578,0.533,0.475,0.511,0.504
2022-04-22 20:00:00,1.358,1.359,1.321,1.338,1.302,1.539,1.559
2022-04-22 21:00:00,3.473,2.932,2.686,2.604,2.517,2.547,2.572
2022-04-22 22:00:00,2.887,1.998,1.651,1.514,1.387,1.335,1.322
2022-04-22 23:00:00,3.72,3.459,3.254,3.133,3.001,3.346,3.428
2022-04-23 00:00:00,2.328,1.856,1.655,1.562,1.46,1.524,1.562
2022-04-23 01:00:00,1.089,1.142,1.091,1.091,1.057,1.064,1.097
2022-04-23 02:00:00,0.7,0.668,0.613,0.588,0.578,0.632,0.642
2022-04-23 03:00:00,1.271,1.107,0.996,0.949,0.956,1.016,1.054
2022-04-23 04:00:00,0.843,0.844,0.813,0.812,0.831,0.813,0.841
2022-04-23 05:00:00,0.902,0.844,0.768,0.773,0.771,0.913,0.89
2022-04-23 07:00:00,2.219,2.115,2.03,1.964,1.934,1.832,1.884
2022-04-23 08:00:00,1.26,0.856,0.696,0.618,0.52,0.471,0.426
2022-04-23 09:00:00,5.374,4.146,3.571,3.266,3.073,3.198,3.337
2022-04-23 10:00:00,3.18,2.584,2.263,2.059,1.937,1.868,1.937
2022-04-23 11:00:00,1.975,1.452,1.245,1.15,1.098,1.044,1.048
2022-04-23 12:00:00,1.424,1.171,1.077,1.024,0.973,0.927,0.921
2022-04-23 13:00:00,1.329,1.091,0.99,0.923,0.865,0.907,0.936
2022-04-23 14:00:00,1.78,1.509,1.457,1.531,1.522,1.611,1.789
2022-04-23 15:00:00,1.169,1.147,1.107,1.108,1.081,1.119,1.126
2022-04-23 16:00:00,1.833,1.377,1.201,1.097,1.035,0.973,0.887
2022-04-23 17:00:00,1.937,1.323,1.124,1.035,0.972,0.973,0.963
2022-04-23 18:00:00,1.966,1.573,1.413,1.341,1.299,1.393,1.422
2022-04-23 19:00:00,2.261,2.013,1.883,1.855,1.838,2.015,2.047
2022-04-23 20:00:00,0.996,1.023,0.998,0.991,0.959,1.065,1.127
2022-04-23 21:00:00,1.611,1.421,1.321,1.284,1.288,1.441,1.474
2022-04-23 22:00:00,1.115,1.028,0.982,0.956,0.953,0.993,1.01
2022-04-23 23:00:00,1.555,0.983,0.764,0.695,0.644,0.738,0.743
2022-04-24 01:00:00,1.453,1.295,1.18,1.167,1.086,1.136,1.109
2022-04-24 02:00:00,1.244,1.229,1.189,1.216,1.193,1.258,1.273
2022-04-24 03:00:00,1.057,1.028,0.986,0.962,0.957,0.957,1.003
2022-04-24 04:00:00,0.757,0.745,0.739,0.721,0.738,0.793,0.793
2022-04-24 05:00:00,1.098,0.852,0.764,0.729,0.683,0.685,0.678
2022-04-24 06:00:00,0.608,0.613,0.587,0.599,0.594,0.663,0.675
2022-04-24 07:00:00,0.346,0.271,0.253,0.231,0.215,0.189,0.183
2022-04-24 08:00:00,1.475,1.064,0.931,0.86,0.811,0.93,0.921
2022-04-24 09:00:00,1.238,1.101,0.991,0.924,0.901,0.875,0.878
2022-04-24 10:00:00,1.096,0.801,0.691,0.63,0.586,0.614,0.612
2022-04-24 11:00:00,1.186,1.074,1.009,0.947,0.956,0.933,0.983
2022-04-24 12:00:00,0.642,0.573,0.542,0.506,0.478,0.433,0.426
2022-04-24 13:00:00,0.402,0.336,0.301,0.269,0.223,0.161,0.127
2022-04-24 14:00:00,1.103,1.163,1.095,1.112,1.116,1.188,1.284
2022-04-24 15:00:00,1.523,1.266,1.13,1.098,1.064,0.976,1.035
2022-04-24 16:00:00,0.971,0.754,0.676,0.613,0.578,0.637,0.603
2022-04-24 17:00:00,1.707,1.377,1.255,1.212,1.164,1.195,1.2
2022-04-24 18:00:00,1.608,1.149,1.02,0.971,0.89,0.88,0.864
